step,loss,lr,tokens_per_sec
14700,1.157248,0.00030000,175441.55
14800,1.217748,0.00030000,175602.34
14900,1.070716,0.00030000,175764.71
15000,1.141064,0.00030000,175928.73
15100,1.196984,0.00030000,176074.71
15200,1.185780,0.00030000,176241.51
15300,1.190995,0.00030000,176405.50
15400,1.218611,0.00030000,176575.57
15500,1.160323,0.00030000,176732.55
15600,1.194956,0.00030000,176894.50
15700,1.159734,0.00030000,177007.66
15800,1.154950,0.00030000,177170.59
15900,1.202534,0.00030000,177320.54
16000,1.238596,0.00030000,177458.07
16100,1.161079,0.00030000,177611.95
16200,1.114665,0.00030000,177764.19
16300,1.131076,0.00030000,177903.76
16400,1.108474,0.00030000,178036.95
16500,1.225505,0.00030000,178187.77
16600,1.136726,0.00030000,178334.75
16700,1.172355,0.00030000,178483.60
16800,1.177284,0.00030000,178633.10
16900,1.197235,0.00030000,178774.79
17000,1.184949,0.00030000,178903.10
17100,1.151106,0.00030000,179042.48
17200,1.108320,0.00030000,179174.02
17300,1.182339,0.00030000,179313.06
17400,1.136728,0.00030000,179429.76
17500,1.173922,0.00030000,179555.32
17600,1.150445,0.00030000,179676.51
17700,1.238223,0.00030000,179792.80
17800,1.095578,0.00030000,179939.86
17900,1.200335,0.00030000,180053.48
18000,1.210609,0.00030000,180173.79
18100,1.090650,0.00030000,180298.95
18200,1.099479,0.00030000,180413.31
18300,1.149585,0.00030000,180522.52
18400,1.145521,0.00030000,180637.32
18500,1.162684,0.00030000,180760.90
18600,1.138688,0.00030000,180890.99
18700,1.151014,0.00030000,180998.71
18800,1.153499,0.00030000,181096.83
18900,1.103723,0.00030000,181206.24
19000,1.218721,0.00030000,181299.18
19100,1.162016,0.00030000,181386.89
19200,1.124050,0.00030000,181479.09
19300,1.130680,0.00030000,181586.51
19400,1.155222,0.00030000,181695.89
19500,1.173905,0.00030000,181783.53
19600,1.161324,0.00030000,181879.73
19700,1.140489,0.00030000,181984.26
19800,1.146497,0.00030000,182093.74
19900,1.165445,0.00030000,182195.77
20000,1.196294,0.00030000,182289.87
20100,1.164596,0.00030000,182395.58
20200,1.139704,0.00030000,182498.42
20300,1.063228,0.00030000,182588.42
20400,1.204596,0.00030000,182690.00
20500,1.184669,0.00030000,182783.78
20600,1.182802,0.00030000,182876.21
20700,1.173761,0.00030000,182969.14
20800,1.099691,0.00030000,183036.92
20900,1.207119,0.00030000,183111.27
21000,1.171818,0.00030000,183206.68
21100,1.115551,0.00030000,183304.06
21200,1.157826,0.00030000,183404.40
21300,1.166604,0.00030000,183491.92
21400,1.105967,0.00030000,183571.73
21500,1.157869,0.00030000,183657.40
21600,1.120172,0.00030000,183746.04
21700,1.148892,0.00030000,183837.85
21800,1.119806,0.00030000,183931.00
21900,1.154289,0.00030000,184009.83
22000,1.129971,0.00030000,184081.30
22100,1.184618,0.00030000,184155.49
22200,1.139183,0.00030000,184237.33
22300,1.102068,0.00030000,184317.75
22400,1.132855,0.00030000,184401.06
22500,1.167385,0.00030000,184487.14
22600,1.178277,0.00030000,184565.54
22700,1.161127,0.00030000,184640.58
22800,1.149141,0.00030000,184710.54
22900,1.156554,0.00030000,184788.49
23000,1.081609,0.00030000,184866.24
23100,1.169651,0.00030000,184927.42
23200,1.192932,0.00030000,184986.55
23300,1.117010,0.00030000,185055.18
23400,1.047525,0.00030000,185124.32
